date,new_cases,stringency_index
31/12/19,0,
1/1/2020,0,0
2/1/2020,0,0
3/1/2020,0,0
4/1/2020,0,0
5/1/2020,0,0
6/1/2020,0,0
7/1/2020,0,0
8/1/2020,0,0
9/1/2020,0,0
10/1/2020,0,0
11/1/2020,0,0
12/1/2020,0,0
13/1/20,0,0
14/1/20,0,0
15/1/20,0,0
16/1/20,0,0
17/1/20,0,0
18/1/20,0,0
19/1/20,0,0
20/1/20,0,0
21/1/20,1,0
22/1/20,0,0
23/1/20,0,0
24/1/20,0,0
25/1/20,1,0
26/1/20,0,0
27/1/20,3,0
28/1/20,0,0
29/1/20,0,0
30/1/20,0,0
31/1/20,1,0
1/2/2020,1,0
2/2/2020,1,5.56
3/2/2020,3,5.56
4/2/2020,0,5.56
5/2/2020,0,5.56
6/2/2020,1,5.56
7/2/2020,0,5.56
8/2/2020,0,5.56
9/2/2020,0,5.56
10/2/2020,0,5.56
11/2/2020,1,5.56
12/2/2020,0,5.56
13/2/20,1,5.56
14/2/20,1,5.56
15/2/20,0,5.56
16/2/20,0,5.56
17/2/20,0,5.56
18/2/20,0,5.56
19/2/20,0,5.56
20/2/20,0,5.56
21/2/20,1,5.56
22/2/20,19,5.56
23/2/20,0,5.56
24/2/20,0,5.56
25/2/20,18,5.56
26/2/20,0,5.56
27/2/20,6,5.56
28/2/20,1,5.56
29/2/20,6,5.56
1/3/2020,3,8.33
2/3/2020,20,11.11
3/3/2020,14,11.11
4/3/2020,22,11.11
5/3/2020,34,20.37
6/3/2020,74,20.37
7/3/2020,105,20.37
8/3/2020,95,20.37
9/3/2020,121,20.37
10/3/2020,200,20.37
11/3/2020,271,21.76
12/3/2020,287,30.09
13/3/20,351,30.09
14/3/20,511,35.65
15/3/20,777,41.2
16/3/20,823,52.31
17/3/20,887,55.09
18/3/20,1766,55.09
19/3/20,2988,67.13
20/3/20,4835,67.13
21/3/20,5374,72.69
22/3/20,7123,72.69
23/3/20,8459,72.69
24/3/20,11236,72.69
25/3/20,8789,72.69
26/3/20,13963,72.69
27/3/20,16797,72.69
28/3/20,18695,72.69
29/3/20,19979,72.69
30/3/20,18360,72.69
31/3/20,21595,72.69
1/4/2020,24998,72.69
2/4/2020,27103,72.69
3/4/2020,28819,72.69
4/4/2020,32425,72.69
5/4/2020,34272,72.69
6/4/2020,25398,72.69
7/4/2020,30561,72.69
8/4/2020,30613,72.69
9/4/2020,33323,72.69
10/4/2020,33901,72.69
11/4/2020,35527,72.69
12/4/2020,28391,72.69
13/4/20,27620,72.69
14/4/20,25023,72.69
15/4/20,26922,72.69
16/4/20,30148,72.69
17/4/20,31667,72.69
18/4/20,30833,72.69
19/4/20,32922,72.69
20/4/20,24601,72.69
21/4/20,28065,72.69
22/4/20,37289,72.69
23/4/20,17588,72.69
24/4/20,26543,72.69
25/4/20,21352,72.69
26/4/20,48529,72.69
27/4/20,26857,72.69
28/4/20,22541,72.69
29/4/20,24132,72.69
30/4/20,27326,72.69
1/5/2020,29917,72.69
2/5/2020,33955,72.69
3/5/2020,29288,72.69
4/5/2020,24972,72.69
5/5/2020,22593,72.69
6/5/2020,23841,72.69
7/5/2020,24128,72.69
8/5/2020,28369,72.69
9/5/2020,26957,72.69
10/5/2020,25612,72.69
11/5/2020,20258,72.69
12/5/2020,18117,72.69
13/5/20,22048,72.69
14/5/20,20782,72.69
15/5/20,27143,72.69
16/5/20,25508,72.69
17/5/20,24487,72.69
18/5/20,18873,72.69
19/5/20,21841,72.69
20/5/20,19970,72.69
21/5/20,23285,72.69
22/5/20,25434,72.69
23/5/20,24147,72.69
24/5/20,21236,72.69
25/5/20,20568,72.69
26/5/20,19064,72.69
27/5/20,18910,72.69
28/5/20,18721,72.69
29/5/20,21817,72.69
30/5/20,25337,72.69
31/5/20,23297,72.69
1/6/2020,19807,72.69
2/6/2020,21086,72.69
3/6/2020,20544,72.69
4/6/2020,19699,72.69
5/6/2020,21140,72.69
6/6/2020,25178,72.69
7/6/2020,22223,72.69
8/6/2020,22302,72.69
9/6/2020,18822,72.69
10/6/2020,18665,72.69
11/6/2020,20614,72.69
12/6/2020,22883,72.69
13/6/20,25639,72.69
14/6/20,25540,72.69
15/6/20,19543,68.98
16/6/20,19957,68.98
17/6/20,23705,68.98
18/6/20,25559,68.98
19/6/20,27762,68.98
20/6/20,29909,68.98
21/6/20,34158,68.98
22/6/20,25793,68.98
23/6/20,31390,68.98
24/6/20,34720,68.98
25/6/20,34339,68.98
26/6/20,40949,68.98
27/6/20,45527,68.98
28/6/20,42486,68.98
29/6/20,38673,68.98
30/6/20,41556,68.98
1/7/2020,43880,68.98
2/7/2020,52048,68.98
3/7/2020,53399,68.98
4/7/2020,54442,68.98
5/7/2020,45221,68.98
6/7/2020,49093,68.98
7/7/2020,49990,68.98
8/7/2020,57473,68.98
9/7/2020,58906,68.98
10/7/2020,63004,68.98
11/7/2020,66625,68.98
12/7/2020,63051,68.98
13/7/20,57258,68.98
14/7/20,58114,68.98
15/7/20,68518,68.98
16/7/20,67717,68.98
17/7/20,76930,68.98
