iso_code,continent,location,date,total_cases,new_cases,stringency_index
AFG,Asia,Afghanistan,2/1/2020,0,0,0
AFG,Asia,Afghanistan,2/2/2020,0,0,0
AFG,Asia,Afghanistan,2/3/2020,1,0,27.78
AFG,Asia,Afghanistan,2/4/2020,192,26,67.59
AFG,Asia,Afghanistan,2/5/2020,2335,164,84.26
AFG,Asia,Afghanistan,2/6/2020,15750,545,84.26
AFG,Asia,Afghanistan,2/7/2020,31836,319,78.7
AFG,Asia,Afghanistan,2/13/2020,0,0,0
AFG,Asia,Afghanistan,2/14/2020,0,0,0
AFG,Asia,Afghanistan,2/15/2020,0,0,0
AFG,Asia,Afghanistan,2/16/2020,0,0,0
AFG,Asia,Afghanistan,2/17/2020,0,0,0
AFG,Asia,Afghanistan,2/18/2020,0,0,0
AFG,Asia,Afghanistan,2/19/2020,0,0,0
AFG,Asia,Afghanistan,2/20/2020,0,0,0
AFG,Asia,Afghanistan,2/21/2020,0,0,0
AFG,Asia,Afghanistan,2/22/2020,0,0,0
AFG,Asia,Afghanistan,2/23/2020,0,0,8.33
AFG,Asia,Afghanistan,2/24/2020,0,0,8.33
AFG,Asia,Afghanistan,2/25/2020,1,1,8.33
AFG,Asia,Afghanistan,2/26/2020,1,0,8.33
AFG,Asia,Afghanistan,2/27/2020,1,0,8.33
AFG,Asia,Afghanistan,2/28/2020,1,0,8.33
AFG,Asia,Afghanistan,2/29/2020,1,0,8.33
AFG,Asia,Afghanistan,3/1/2020,0,0,0
AFG,Asia,Afghanistan,3/2/2020,0,0,0
AFG,Asia,Afghanistan,3/4/2020,235,43,67.59
AFG,Asia,Afghanistan,3/5/2020,2469,134,84.26
AFG,Asia,Afghanistan,3/6/2020,16509,759,84.26
AFG,Asia,Afghanistan,3/7/2020,32022,186,78.7
AFG,Asia,Afghanistan,3/15/2020,10,3,38.89
AFG,Asia,Afghanistan,3/16/2020,16,6,38.89
AFG,Asia,Afghanistan,3/17/2020,21,5,38.89
AFG,Asia,Afghanistan,3/18/2020,22,1,41.67
AFG,Asia,Afghanistan,3/19/2020,22,0,41.67
AFG,Asia,Afghanistan,3/20/2020,22,0,41.67
AFG,Asia,Afghanistan,3/21/2020,24,2,41.67
AFG,Asia,Afghanistan,3/22/2020,24,0,41.67
AFG,Asia,Afghanistan,3/23/2020,34,10,41.67
AFG,Asia,Afghanistan,3/24/2020,40,6,50.93
AFG,Asia,Afghanistan,3/25/2020,42,2,59.26
AFG,Asia,Afghanistan,3/26/2020,75,33,59.26
AFG,Asia,Afghanistan,3/27/2020,75,0,59.26
AFG,Asia,Afghanistan,3/28/2020,91,16,67.59
AFG,Asia,Afghanistan,3/29/2020,106,15,67.59
AFG,Asia,Afghanistan,3/30/2020,114,8,67.59
AFG,Asia,Afghanistan,3/31/2020,141,27,67.59
AFG,Asia,Afghanistan,4/1/2020,0,0,0
AFG,Asia,Afghanistan,4/2/2020,0,0,0
AFG,Asia,Afghanistan,4/4/2020,235,0,67.59
AFG,Asia,Afghanistan,4/5/2020,2704,235,84.26
AFG,Asia,Afghanistan,4/6/2020,17267,758,84.26
AFG,Asia,Afghanistan,4/7/2020,32324,302,78.7
AFG,Asia,Afghanistan,4/13/2020,607,52,84.26
AFG,Asia,Afghanistan,4/14/2020,665,58,84.26
AFG,Asia,Afghanistan,4/15/2020,714,49,84.26
AFG,Asia,Afghanistan,4/16/2020,784,70,84.26
AFG,Asia,Afghanistan,4/17/2020,794,10,84.26
AFG,Asia,Afghanistan,4/18/2020,845,51,84.26
AFG,Asia,Afghanistan,4/19/2020,908,63,84.26
AFG,Asia,Afghanistan,4/20/2020,996,88,84.26
AFG,Asia,Afghanistan,4/21/2020,1031,35,84.26
AFG,Asia,Afghanistan,4/22/2020,1092,61,84.26
AFG,Asia,Afghanistan,4/23/2020,1176,84,84.26
AFG,Asia,Afghanistan,4/24/2020,1281,105,84.26
AFG,Asia,Afghanistan,4/25/2020,1351,70,84.26
AFG,Asia,Afghanistan,4/26/2020,1463,112,84.26
AFG,Asia,Afghanistan,4/27/2020,1531,68,84.26
AFG,Asia,Afghanistan,4/28/2020,1703,172,84.26
AFG,Asia,Afghanistan,4/29/2020,1827,124,84.26
AFG,Asia,Afghanistan,4/30/2020,1949,122,84.26
AFG,Asia,Afghanistan,5/1/2020,0,0,0
AFG,Asia,Afghanistan,5/2/2020,0,0,0
AFG,Asia,Afghanistan,5/4/2020,270,35,78.7
